text,label,n_words,clean_text
Combien de côtés dans un hexagone,out_of_scope,6,côté hexagone
Combien de temps dure l'hiver,out_of_scope,5,temps dur lhiver
qui est l'entraîneur des Chicago Bulls,out_of_scope,6,lentraîneur chicago bull
Combien d'Oscars ont gagné les films Star Wars,out_of_scope,8,doscar gagner film star war
Veuillez trouver la capitale du Pakistan ,out_of_scope,6,vouloir trouver capitale pakistan
qui est le personnage le plus effrayant de Start Trek,out_of_scope,10,personnage effrayer start trek
Quelle est la durée de vie de la batterie moyenne d'un téléphone Android,out_of_scope,13,quell durée vie batterie moyen dun téléphone android
Quand Camus est-il mort,out_of_scope,4,camus estil mort
Quand Nintendo a-t-il été créé,out_of_scope,5,nintendo atil créer
Quel personnage Marvel est apparu dans le plus de films,out_of_scope,10,personnage marvel apparaître film
Quels sont les avantages de terminer le lycée,out_of_scope,8,avantage terminer lycée
Pouvez-vous me dire à quelle vitesse moyenne l'avion vers la Californie va,out_of_scope,12,pouvezvous dire vitesse moyen lavion californie aller
Est-il possible de louer une voiture à la Laguardia du mardi au vendredi,out_of_scope,13,estil louer voiture laguardia mardi vendredi
Que vaut un dollar au Mexique,out_of_scope,6,valoir dollar mexique
Quel est le taux de change entre l'USD et l'euro,out_of_scope,10,taux change entrer lusd leuro
Pouvez-vous me dire le fuseau horaire à San Francisco,out_of_scope,9,pouvezvous dire fuseau horaire san francisco
